ID,Week,Player,FTM,PTS,AST,REB,TO,FGM,FGA,3PTM,FTA,STL,BLK,Fantasy Points,Weekly Contribution Percentage
190,15,Franz Wagner,7.0,98.0,36.0,20.0,-14.0,82.0,-74.0,9.0,-9.0,20.0,4.0,179.0,9.91
191,15,Darius Garland,5.0,32.0,28.0,5.0,-14.0,24.0,-25.0,3.0,-5.0,16.0,0.0,69.0,3.82
192,15,Keldon Johnson,2.0,14.0,6.0,5.0,-4.0,10.0,-10.0,2.0,-2.0,12.0,0.0,35.0,1.94
193,15,Jalen Johnson,5.0,56.0,30.0,31.0,-2.0,46.0,-48.0,5.0,-6.0,16.0,8.0,141.0,7.81
194,15,Jonas Valanciunas,8.0,54.0,16.0,30.0,-6.0,46.0,-36.0,0.0,-13.0,4.0,8.0,111.0,6.15
195,15,Devin Booker,7.0,68.0,38.0,17.0,-8.0,52.0,-56.0,9.0,-9.0,16.0,8.0,142.0,7.86
196,15,Damian Lillard,16.0,85.0,52.0,12.0,-34.0,58.0,-65.0,11.0,-18.0,8.0,16.0,141.0,7.81
197,15,Khris Middleton,2.0,48.0,38.0,13.0,-14.0,40.0,-38.0,6.0,-2.0,4.0,8.0,105.0,5.81
198,15,Dejounte Murray,10.0,65.0,42.0,17.0,-12.0,54.0,-60.0,1.0,-11.0,16.0,0.0,122.0,6.76
199,15,Kawhi Leonard,13.0,119.0,28.0,32.0,-8.0,94.0,-83.0,12.0,-13.0,32.0,16.0,242.0,13.4
200,15,Jalen Duren,2.0,36.0,8.0,27.0,-6.0,34.0,-23.0,0.0,-3.0,0.0,0.0,75.0,4.15
201,15,Jamal Murray,12.0,85.0,58.0,19.0,-10.0,64.0,-73.0,9.0,-14.0,12.0,24.0,186.0,10.3
202,16,Coby White,12.0,67.0,44.0,15.0,-18.0,44.0,-54.0,11.0,-13.0,12.0,0.0,120.0,8.7
203,16,Tyrese Haliburton,4.0,45.0,60.0,6.0,-12.0,34.0,-36.0,7.0,-6.0,8.0,16.0,126.0,9.13
204,16,Franz Wagner,14.0,83.0,30.0,17.0,-18.0,60.0,-54.0,9.0,-17.0,8.0,8.0,140.0,10.14
205,16,Darius Garland,7.0,38.0,32.0,2.0,-14.0,28.0,-29.0,3.0,-7.0,4.0,0.0,64.0,4.64
206,16,Jalen Johnson,7.0,60.0,36.0,39.0,-12.0,48.0,-53.0,5.0,-10.0,20.0,20.0,160.0,11.59
207,16,Donte DiVincenzo,3.0,50.0,14.0,5.0,-10.0,38.0,-41.0,9.0,-5.0,4.0,4.0,71.0,5.14
208,16,Jonas Valanciunas,8.0,44.0,14.0,33.0,-12.0,36.0,-32.0,0.0,-8.0,4.0,12.0,99.0,7.17
209,16,Damian Lillard,6.0,26.0,16.0,4.0,0.0,18.0,-18.0,2.0,-6.0,12.0,0.0,60.0,4.35
210,16,Devin Booker,14.0,64.0,20.0,5.0,-6.0,46.0,-42.0,4.0,-19.0,4.0,4.0,94.0,6.81
